Title,Year,Agency,Keywords
A Gendered (R)evolution: Intergenerational Educational Attainment Among Children of Immigrants Across the Twentieth Century,2022,Penn State,twentieth century;evolution;attainment children;children immigrants
Leapfrogging the Melting Pot? European Immigrants’ Intergenerational Mobility Across the 20th Century,2021,Penn State,pot european;intergenerational;20th century;european immigrants
Living With(out) Citizenship: Investigating the Impact of Naturalization on Mortality Risk Among U.S. Immigrants,2024,Penn State,risk immigrants;naturalization mortality;mortality risk
Vintage Heterogeneity Among Mexican Americans,2022,Penn State,vintage heterogeneity;mexican americans
"Variation in Local School Contexts among American Children, 1918-1958",2022,Penn State,variation local;school contexts
Leapfrogging the Melting Pot? European Immigrants’ Intergenerational Mobility Across the 20th Century,2021,Penn State,pot european;intergenerational;20th century;european immigrants
"Intergenerational Poverty, Public Assistance Use, and Earnings Among Second Generation Immigrants",2023,Penn State,use earnings;intergenerational;assistance use;earnings second
Quantifying the Welfare Effects of Gentrification on Incumbent Low-Income Renters,2023,UCLA,welfare effects;renters
"Code for ""A Crosswalk from the Business R&D and Innovation Survey (BRDIS) and the Survey of Industrial Research and Development (SIRD) to the Longitudinal Business Database (LBD) and the Standard Statistical Establishment List (SSEL)""",2023,Philadelphia,survey;business;database;industrial;establishment list;development sird;crosswalk;innovation
A Crosswalk from the Business R&D and Innovation Survey (BRDIS) and the Survey of Industrial Research and Development (SIRD) to the Longitudinal Business Database (LBD) and the Standard Statistical Establishment List (SSEL),2023,Philadelphia,survey;business;database lbd;industrial research;establishment list;development sird;crosswalk;innovation
Three Essays in Regional Taxation,2021,Kentucky,taxation;regional
A Dynamic Approach to Explain Flood Risk Exposures and Household Choice,2023,Kentucky,risk exposures;household choice;flood risk
Are Older Workers Good for Business?,2023,Boston,workers good;older workers
Employer Concentration and Labor Force Participation,2022,Boston,participation;labor force
Employer Concentration and Labor Force Participation,2022,Boston,participation;labor force
Are Older Workers Good for Business?,2023,Boston,workers good;older workers
Does Employer Concentration Reduce Labor Force Participation?,2022,Boston,reduce labor;participation
"Unionization, Employer Opposition, and Establishment Closure",2021,Boston,unionization employer;opposition establishment
Essays on Employment and Human Capital,2022,Boston,human capital;essays employment
"Unionization, Employer Opposition, and Establishment Closure",2023,Boston,unionization employer;opposition establishment
Essays on Labor Market Institutions,2022,Boston,market institutions;labor market
Poach or Promote? Job Sorting and Gender Earnings Inequality across U.S. Industries,2023,Triangle,sorting gender;promote job;poach promote
Longevity and the value of trade relationships,2023,Fed Board,value trade;trade relationships
Who’s Most Exposed to International Shocks? Estimating Differences in Import Price Sensitivity across U.S. Demographic Groups,2023,Fed Board,shocks estimating;groups;differences;exposed;import
Who’s Most Exposed to International Shocks? Estimating Differences in Import Price Sensitivity across U.S. Demographic Groups,2023,Fed Board,shocks estimating;groups;differences;exposed;import
The Role of People vs. Places in Individual Carbon Emissions,2023,Berkeley,vs places;role people
Essays on Energy and Public Economics,2022,Berkeley,public economics;essays energy
The Role of People vs. Places in Individual Carbon Emissions,2022,Berkeley,vs places;role people
Dissertation (title unknown),2023,Missouri,unknown;title
Effects of Federal Funding for English Language Learners on Educational Attainment,2022,Missouri,learners educational;language learners;funding english
Intergenerational Linkages between the American Community Survey and the 2000 Long-From Census,2022,Wisconsin,survey 2000;long census;linkages american
Family Formation and the Great Recession,2020,Wisconsin,recession;great
Essays on College Majors and the Labor Market,2022,Michigan,market;majors labor
Job Search and Earnings Growth: General and Specific Majors,2022,Michigan,specific majors;search earnings;job search
New Measurement of Export Participation in U.S. Manufacturing,2023,Austin,participation manufacturing;new measurement
New Measurement of Export Participation in U.S. Manufacturing,2023,Austin,participation manufacturing;new measurement
The Local-Area Incidence of Exporting,2021,Austin,local area;incidence exporting
Output Market Power and Spatial Misallocation,2023,Chicago,spatial misallocation;power spatial
Federal-local partnerships on immigration law enforcement: Are the policies effective in reducing violent victimization? ,2023,Maryland,violent victimization;law enforcement;effective reducing;enforcement policies
Federal-local partnerships on immigration law enforcement: Are the policies effective in reducing violent victimization? ,2023,Maryland,violent victimization;law enforcement;effective reducing;enforcement policies
"Essays on Firms, Innovation, and Growth",2023,Penn State,innovation growth;firms innovation
"Essays on Firms, Growth, and Competition",2023,Penn State,growth competition;firms growth
The Rise of Specialized Firms,2023,Penn State,specialized firms;rise specialized
Spatial Sorting of Retail Firms,2023,Penn State,spatial sorting;sorting retail
Eviction and Poverty in America Cities,2022,Yale,poverty america;eviction poverty
Eviction and Poverty in America Cities,2024,Yale,poverty america;eviction poverty
Eviction and Poverty in American Cities: Evidence from Chicago and New York,2023,Yale,york;poverty american;new
Eviction and Poverty in America Cities,2023,Yale,poverty america;eviction poverty
Eviction and Poverty in America Cities,2022,Yale,poverty america;eviction poverty
Market Factors Influencing the Choice and Generosity of Health Insurance Plans Offered to Employees,2022,Maryland,plans offered;health insurance;choice generosity;employees;factors
Labor Market Concentration and Employee Health Benefits,2024,Maryland,market concentration;labor market
Establishment-Level Life Cycle and Analysts’ Forecasts,2023,Philadelphia,life cycle;level life
Immigration and the Demand for Urban Housing,2023,UCLA,urban housing;immigration demand
Immigration and the Demand for Urban Housing,2021,UCLA,urban housing;immigration demand
"Monetary Policy, Employment, and Firm Heterogeneity",2022,Georgetown,policy employment;monetary policy
"Essays on Monetary Policy, Housing Market, and Business Finance",2022,Georgetown,policy housing;monetary policy;market business
Who Scars the Easiest? College Quality and the Effects of Graduating into a Recession,2022,Wisconsin,scars easiest;recession;quality effects
Internationalization of the Rural Nonfarm Economy and the Cloud: Evidence from US Firm-level Export Data,2023,Penn State,rural nonfarm;export data;cloud evidence
Experimenting in the Cloud: The Impact of the Digital Divide on Innovation,2023,Penn State,innovation;impact digital
"Digitalization, Cloud Computing, and Innovation in U.S. Businesses",2022,Penn State,innovation businesses;digitalization cloud
The Rise and Durability of Macro-segregation,2023,Baruch,segregation;rise durability
Improving Estimates of Neighborhood Change with Constant Tract Boundaries,2021,Baruch,tract boundaries;neighborhood change;improving estimates
The Role of Suburbanization in Metropolitan Segregation after 1940,2023,Baruch,suburbanization metropolitan;segregation 1940
Bureaucracies of Exclusion: Immigrant Incorporation and Inequality in Hawaiʻi,2023,Irvine,inequality hawaiʻi;incorporation inequality
The Adoption of Non-Rival Inputs and Firm Scope,2024,Missouri,scope;rival inputs
"Understanding the Nuances of Accessibility: Spatial and Temporal Resolution, and Neoliberalism",2024,Colorado,understanding nuances;temporal resolution;spatial temporal
Wage Inequality and the Spatial Expansion of Firms,2023,Chicago,wage inequality;spatial expansion
"Essays on Inequality, Geography, and Trade",2023,Chicago,trade;inequality geography
Immigration Enforcement and Public Safety,2024,UCLA,safety;public
"Unemployment Insurance Duration, Labor Market Concentration, and Match Quality",2023,Cornell,unemployment insurance;quality;match
"Skilled Immigration, R&D Concentration, and Industry Consolidation",2023,Minnesota,skilled immigration;industry consolidation
"Skilled Immigration, R&D Concentration, and Industry Consolidation",2024,Minnesota,skilled immigration;industry consolidation
Stealth Mergers and Investment Outcomes,2024,Minnesota,stealth mergers;outcomes
Stealth Mergers and Investment Outcomes,2023,Minnesota,stealth mergers;outcomes
Essays in Private Capital,2023,Baruch,private capital;essays private
Desperate Capital Breeds Productivity Loss: Evidence from Public Pension Investments in Private Equity,2022,Baruch,public pension;investments;breeds productivity;capital;desperate
Do environmental markets improve allocative efficiency? Evidence from U.S. air pollution,2022,UCLA,pollution;markets improve;improve allocative
Evaluating the efficiency and effectiveness of environmental policies for global and local air pollutants,2023,UCLA,pollutants;environmental policies;effectiveness;efficiency
The Effect of Housing Assistance Program on Labor Supply and Family Formation,2022,Penn State,supply family;program labor;labor supply
"Credit Cycles, Firms, and the Labor Market",2023,Boston,market;labor
The Labor Market Spillovers of Job Destruction ,2023,Boston,spillovers job;market spillovers
The Firm Life Cycle Origins of the Aggregate Investment Puzzle,2023,Boston,puzzle;origins aggregate;life cycle
